recordID_segID,label
rec_0_0,bckg
rec_0_1,bckg
rec_0_2,bckg
rec_0_3,bckg
rec_0_4,bckg
rec_0_5,seizure
rec_0_6,bckg
rec_0_7,bckg
rec_0_8,bckg
rec_0_9,seizure
rec_0_10,bckg
rec_0_11,bckg
rec_0_12,seizure
rec_0_13,bckg
rec_0_14,bckg
rec_0_15,bckg
rec_0_16,seizure
rec_0_17,bckg
rec_0_18,bckg
rec_0_19,bckg
rec_1_0,bckg
rec_1_1,bckg
rec_1_2,bckg
rec_1_3,bckg
rec_1_4,bckg
rec_1_5,bckg
rec_1_6,seizure
rec_1_7,seizure
rec_1_8,bckg
rec_1_9,bckg
rec_1_10,bckg
rec_1_11,bckg
rec_1_12,bckg
rec_1_13,bckg
rec_1_14,bckg
rec_1_15,bckg
rec_1_16,bckg
rec_1_17,seizure
rec_1_18,seizure
rec_1_19,bckg
rec_2_0,bckg
rec_2_1,bckg
rec_2_2,bckg
rec_2_3,bckg
rec_2_4,bckg
rec_2_5,seizure
rec_2_6,bckg
rec_2_7,bckg
rec_2_8,bckg
rec_2_9,bckg
rec_2_10,bckg
rec_2_11,bckg
rec_2_12,seizure
rec_2_13,bckg
rec_2_14,bckg
rec_2_15,bckg
rec_2_16,bckg
rec_2_17,bckg
rec_2_18,bckg
rec_2_19,bckg
rec_3_0,bckg
rec_3_1,bckg
rec_3_2,bckg
rec_3_3,bckg
rec_3_4,bckg
rec_3_5,bckg
rec_3_6,bckg
rec_3_7,seizure
rec_3_8,bckg
rec_3_9,bckg
rec_3_10,bckg
rec_3_11,seizure
rec_3_12,bckg
rec_3_13,seizure
rec_3_14,bckg
rec_3_15,bckg
rec_3_16,bckg
rec_3_17,seizure
rec_3_18,seizure
rec_3_19,bckg
rec_4_0,bckg
rec_4_1,bckg
rec_4_2,bckg
rec_4_3,bckg
rec_4_4,bckg
rec_4_5,bckg
rec_4_6,bckg
rec_4_7,seizure
rec_4_8,bckg
rec_4_9,bckg
rec_4_10,seizure
rec_4_11,seizure
rec_4_12,bckg
rec_4_13,seizure
rec_4_14,seizure
rec_4_15,seizure
rec_4_16,bckg
rec_4_17,seizure
rec_4_18,seizure
rec_4_19,bckg
rec_5_0,bckg
rec_5_1,bckg
rec_5_2,bckg
rec_5_3,seizure
rec_5_4,bckg
rec_5_5,bckg
rec_5_6,bckg
rec_5_7,seizure
rec_5_8,bckg
rec_5_9,bckg
rec_5_10,bckg
rec_5_11,bckg
rec_5_12,bckg
rec_5_13,bckg
rec_5_14,bckg
rec_5_15,bckg
rec_5_16,seizure
rec_5_17,bckg
rec_5_18,bckg
rec_5_19,bckg
rec_6_0,bckg
rec_6_1,bckg
rec_6_2,seizure
rec_6_3,bckg
rec_6_4,bckg
rec_6_5,bckg
rec_6_6,seizure
rec_6_7,bckg
rec_6_8,bckg
rec_6_9,bckg
rec_6_10,bckg
rec_6_11,bckg
rec_6_12,bckg
rec_6_13,bckg
rec_6_14,bckg
rec_6_15,bckg
rec_6_16,bckg
rec_6_17,bckg
rec_6_18,seizure
rec_6_19,bckg
rec_7_0,bckg
rec_7_1,bckg
rec_7_2,bckg
rec_7_3,bckg
rec_7_4,bckg
rec_7_5,seizure
rec_7_6,bckg
rec_7_7,bckg
rec_7_8,bckg
rec_7_9,bckg
rec_7_10,bckg
rec_7_11,bckg
rec_7_12,bckg
rec_7_13,bckg
rec_7_14,bckg
rec_7_15,bckg
rec_7_16,seizure
rec_7_17,bckg
rec_7_18,seizure
rec_7_19,bckg
rec_8_0,bckg
rec_8_1,bckg
rec_8_2,bckg
rec_8_3,seizure
rec_8_4,bckg
rec_8_5,bckg
rec_8_6,bckg
rec_8_7,seizure
rec_8_8,seizure
rec_8_9,bckg
rec_8_10,bckg
rec_8_11,seizure
rec_8_12,bckg
rec_8_13,bckg
rec_8_14,seizure
rec_8_15,bckg
rec_8_16,bckg
rec_8_17,seizure
rec_8_18,seizure
rec_8_19,bckg
rec_9_0,seizure
rec_9_1,bckg
rec_9_2,bckg
rec_9_3,bckg
rec_9_4,bckg
rec_9_5,bckg
rec_9_6,bckg
rec_9_7,seizure
rec_9_8,bckg
rec_9_9,bckg
rec_9_10,bckg
rec_9_11,bckg
rec_9_12,bckg
rec_9_13,bckg
rec_9_14,seizure
rec_9_15,bckg
rec_9_16,bckg
rec_9_17,bckg
rec_9_18,seizure
rec_9_19,bckg
rec_10_0,bckg
rec_10_1,bckg
rec_10_2,bckg
rec_10_3,bckg
rec_10_4,bckg
rec_10_5,bckg
rec_10_6,seizure
rec_10_7,bckg
rec_10_8,bckg
rec_10_9,bckg
rec_10_10,bckg
rec_10_11,bckg
rec_10_12,bckg
rec_10_13,bckg
rec_10_14,bckg
rec_10_15,bckg
rec_10_16,seizure
rec_10_17,bckg
rec_10_18,seizure
rec_10_19,bckg
rec_11_0,seizure
rec_11_1,bckg
rec_11_2,bckg
rec_11_3,bckg
rec_11_4,seizure
rec_11_5,bckg
rec_11_6,bckg
rec_11_7,bckg
rec_11_8,bckg
rec_11_9,bckg
rec_11_10,bckg
rec_11_11,bckg
rec_11_12,bckg
rec_11_13,bckg
rec_11_14,bckg
rec_11_15,bckg
rec_11_16,bckg
rec_11_17,bckg
rec_11_18,bckg
rec_11_19,seizure
rec_12_0,bckg
rec_12_1,seizure
rec_12_2,bckg
rec_12_3,bckg
rec_12_4,bckg
rec_12_5,bckg
rec_12_6,bckg
rec_12_7,seizure
rec_12_8,bckg
rec_12_9,bckg
rec_12_10,bckg
rec_12_11,bckg
rec_12_12,seizure
rec_12_13,bckg
rec_12_14,bckg
rec_12_15,bckg
rec_12_16,seizure
rec_12_17,bckg
rec_12_18,bckg
rec_12_19,bckg
rec_13_0,bckg
rec_13_1,bckg
rec_13_2,bckg
rec_13_3,bckg
rec_13_4,bckg
rec_13_5,bckg
rec_13_6,bckg
rec_13_7,bckg
rec_13_8,bckg
rec_13_9,bckg
rec_13_10,bckg
rec_13_11,seizure
rec_13_12,bckg
rec_13_13,bckg
rec_13_14,bckg
rec_13_15,seizure
rec_13_16,bckg
rec_13_17,bckg
rec_13_18,seizure
rec_13_19,seizure
rec_14_0,bckg
rec_14_1,bckg
rec_14_2,seizure
rec_14_3,bckg
rec_14_4,seizure
rec_14_5,bckg
rec_14_6,bckg
rec_14_7,bckg
rec_14_8,bckg
rec_14_9,bckg
rec_14_10,bckg
rec_14_11,bckg
rec_14_12,bckg
rec_14_13,bckg
rec_14_14,bckg
rec_14_15,bckg
rec_14_16,bckg
rec_14_17,seizure
rec_14_18,bckg
rec_14_19,bckg
rec_15_0,seizure
rec_15_1,bckg
rec_15_2,bckg
rec_15_3,bckg
rec_15_4,bckg
rec_15_5,bckg
rec_15_6,bckg
rec_15_7,bckg
rec_15_8,seizure
rec_15_9,bckg
rec_15_10,bckg
